10.1016/S0378-1097(00)00549-8	Department of Biology, Southwest Texas State University, 601 University Drive, San Marcos, TX 78666, USA	[{"start": 0, "end": 21, "valid": false, "qid": "Q12303490"}, {"start": 0, "end": 21, "valid": false, "qid": "Q27876399"}, {"start": 23, "end": 55, "valid": true, "qid": "Q1495387"}, {"start": 61, "end": 71, "valid": false, "qid": "Q7894476"}, {"start": 61, "end": 71, "valid": false, "qid": "Q7894495"}, {"start": 61, "end": 71, "valid": false, "qid": "Q3612349"}, {"start": 61, "end": 71, "valid": false, "qid": "Q996480"}, {"start": 61, "end": 71, "valid": false, "qid": "Q264974"}, {"start": 72, "end": 77, "valid": false, "qid": "Q5307894"}, {"start": 72, "end": 77, "valid": false, "qid": "Q22131511"}, {"start": 79, "end": 93, "valid": true, "qid": "Q982353"}, {"start": 101, "end": 104, "valid": true, "qid": "Q30"}, {"start": 101, "end": 104, "valid": false, "qid": "Q9212"}, {"start": 101, "end": 104, "valid": false, "qid": "Q193619"}, {"start": 101, "end": 104, "valid": false, "qid": "Q114147"}, {"start": 101, "end": 104, "valid": false, "qid": "Q7901658"}]
10.1007/BFb0089916	Institut für Mathematik, Universität Hannover, Welfengarten 1, D - 3000, Hannover 1, Federal Republic of Germany	[{"start": 0, "end": 8, "valid": false, "qid": "Q26905811"}, {"start": 0, "end": 8, "valid": false, "qid": "Q4140352"}, {"start": 9, "end": 12, "valid": false, "qid": "Q838874"}, {"start": 9, "end": 12, "valid": false, "qid": "Q839961"}, {"start": 9, "end": 12, "valid": false, "qid": "Q861961"}, {"start": 9, "end": 12, "valid": false, "qid": "Q1474797"}, {"start": 9, "end": 12, "valid": false, "qid": "Q1006861"}, {"start": 25, "end": 45, "valid": true, "qid": "Q678982"}, {"start": 47, "end": 59, "valid": true, "qid": "Q2557511"}, {"start": 60, "end": 64, "valid": false, "qid": "Q3824946"}, {"start": 73, "end": 81, "valid": true, "qid": "Q1715"}, {"start": 73, "end": 81, "valid": false, "qid": "Q164079"}, {"start": 73, "end": 81, "valid": false, "qid": "Q819125"}, {"start": 73, "end": 81, "valid": false, "qid": "Q5963"}, {"start": 73, "end": 81, "valid": false, "qid": "Q641116"}, {"start": 85, "end": 112, "valid": true, "qid": "Q183"}, {"start": 85, "end": 112, "valid": false, "qid": "Q713750"}]
10.1007/978-1-4020-4998-9_12	Laboratory of Electronics, Optoelectronics, and Microsystems, Ecole Centrale de Lyon, 36 avenue Guy de Collongue, F-69134, Ecully, France	[{"start": 0, "end": 10, "valid": false, "qid": "Q6467254"}, {"start": 14, "end": 25, "valid": false, "qid": "Q4319128"}, {"start": 27, "end": 42, "valid": false, "qid": "Q11292335"}, {"start": 44, "end": 47, "valid": false, "qid": "Q5456"}, {"start": 44, "end": 47, "valid": false, "qid": "Q11184652"}, {"start": 44, "end": 47, "valid": false, "qid": "Q4754160"}, {"start": 44, "end": 47, "valid": false, "qid": "Q570479"}, {"start": 44, "end": 47, "valid": false, "qid": "Q20982187"}, {"start": 62, "end": 84, "valid": true, "qid": "Q10177"}, {"start": 89, "end": 95, "valid": false, "qid": "Q4828174"}, {"start": 89, "end": 95, "valid": false, "qid": "Q4828173"}, {"start": 89, "end": 95, "valid": false, "qid": "Q4443202"}, {"start": 89, "end": 95, "valid": false, "qid": "Q2873506"}, {"start": 89, "end": 95, "valid": false, "qid": "Q4828182"}, {"start": 96, "end": 99, "valid": false, "qid": "Q3121507"}, {"start": 96, "end": 99, "valid": false, "qid": "Q861353"}, {"start": 96, "end": 99, "valid": false, "qid": "Q2555807"}, {"start": 96, "end": 99, "valid": false, "qid": "Q5622020"}, {"start": 96, "end": 99, "valid": false, "qid": "Q5622021"}, {"start": 114, "end": 115, "valid": false, "qid": "Q20970828"}, {"start": 114, "end": 115, "valid": false, "qid": "Q2546113"}, {"start": 114, "end": 115, "valid": false, "qid": "Q5427458"}, {"start": 123, "end": 129, "valid": true, "qid": "Q273748"}, {"start": 123, "end": 129, "valid": false, "qid": "Q1728015"}, {"start": 131, "end": 137, "valid": true, "qid": "Q142"}, {"start": 131, "end": 137, "valid": false, "qid": "Q70972"}, {"start": 131, "end": 137, "valid": false, "qid": "Q168466"}, {"start": 131, "end": 137, "valid": false, "qid": "Q5478259"}, {"start": 131, "end": 137, "valid": false, "qid": "Q2084927"}]
10.1016/S0041-1345(97)01345-6	Rainer W. G. Gruessner, MD, University of Minnesota, Department of Surgery, 420 Delaware St S.E., Minneapolis, MN 55455.	[{"start": 7, "end": 11, "valid": false, "qid": "Q14517114"}, {"start": 24, "end": 26, "valid": false, "qid": "Q217"}, {"start": 24, "end": 26, "valid": false, "qid": "Q1391"}, {"start": 28, "end": 51, "valid": true, "qid": "Q238101"}, {"start": 53, "end": 74, "valid": false, "qid": "Q45134903"}, {"start": 76, "end": 79, "valid": false, "qid": "Q11505513"}, {"start": 80, "end": 88, "valid": true, "qid": "Q1393"}, {"start": 80, "end": 88, "valid": false, "qid": "Q986183"}, {"start": 80, "end": 88, "valid": false, "qid": "Q1183933"}, {"start": 80, "end": 88, "valid": false, "qid": "Q5253201"}, {"start": 80, "end": 88, "valid": false, "qid": "Q5253209"}, {"start": 89, "end": 91, "valid": false, "qid": "Q1065"}, {"start": 89, "end": 91, "valid": false, "qid": "Q1039"}, {"start": 89, "end": 91, "valid": false, "qid": "Q591156"}, {"start": 89, "end": 91, "valid": false, "qid": "Q661845"}, {"start": 89, "end": 91, "valid": false, "qid": "Q127243"}, {"start": 92, "end": 95, "valid": false, "qid": "Q3492300"}, {"start": 98, "end": 113, "valid": true, "qid": "Q36091"}]
10.1002/aenm.201100390	Konarka Technologies, 116 John St., Suite 12, Lowell, MA 01852, USA	[{"start": 0, "end": 20, "valid": true, "qid": "Q4042306"}, {"start": 26, "end": 30, "valid": false, "qid": "Q1815406"}, {"start": 26, "end": 30, "valid": false, "qid": "Q6221204"}, {"start": 31, "end": 33, "valid": false, "qid": "Q1065"}, {"start": 31, "end": 33, "valid": false, "qid": "Q1039"}, {"start": 31, "end": 33, "valid": false, "qid": "Q591156"}, {"start": 31, "end": 33, "valid": false, "qid": "Q661845"}, {"start": 31, "end": 33, "valid": false, "qid": "Q127243"}, {"start": 36, "end": 41, "valid": false, "qid": "Q11950477"}, {"start": 36, "end": 41, "valid": false, "qid": "Q21435210"}, {"start": 36, "end": 41, "valid": false, "qid": "Q6135342"}, {"start": 46, "end": 52, "valid": true, "qid": "Q49162"}, {"start": 46, "end": 52, "valid": false, "qid": "Q960284"}, {"start": 46, "end": 52, "valid": false, "qid": "Q3450176"}, {"start": 46, "end": 52, "valid": false, "qid": "Q543975"}, {"start": 46, "end": 52, "valid": false, "qid": "Q2771152"}, {"start": 54, "end": 56, "valid": false, "qid": "Q1028"}, {"start": 54, "end": 56, "valid": true, "qid": "Q771"}, {"start": 54, "end": 56, "valid": false, "qid": "Q14295442"}, {"start": 54, "end": 56, "valid": false, "qid": "Q208372"}, {"start": 54, "end": 56, "valid": false, "qid": "Q471452"}, {"start": 64, "end": 67, "valid": true, "qid": "Q30"}, {"start": 64, "end": 67, "valid": false, "qid": "Q9212"}, {"start": 64, "end": 67, "valid": false, "qid": "Q193619"}, {"start": 64, "end": 67, "valid": false, "qid": "Q114147"}, {"start": 64, "end": 67, "valid": false, "qid": "Q7901658"}]
10.1111/j.1365-4362.1996.tb01631.x	From the Department of Dermatology, Vargas School of Medicine, and the Section Immunology I, Instituto de Biomedicina. Central University of Venezuela, Caracas, Venezuela.	[{"start": 0, "end": 4, "valid": false, "qid": "Q1242441"}, {"start": 0, "end": 4, "valid": false, "qid": "Q13135703"}, {"start": 5, "end": 8, "valid": false, "qid": "Q280824"}, {"start": 5, "end": 8, "valid": false, "qid": "Q3312799"}, {"start": 5, "end": 8, "valid": false, "qid": "Q30936197"}, {"start": 5, "end": 8, "valid": false, "qid": "Q6143968"}, {"start": 5, "end": 8, "valid": false, "qid": "Q6143971"}, {"start": 36, "end": 42, "valid": false, "qid": "Q205843"}, {"start": 36, "end": 42, "valid": false, "qid": "Q3650762"}, {"start": 36, "end": 42, "valid": false, "qid": "Q28120872"}, {"start": 43, "end": 61, "valid": false, "qid": "Q7432510"}, {"start": 63, "end": 66, "valid": false, "qid": "Q5456"}, {"start": 63, "end": 66, "valid": false, "qid": "Q11184652"}, {"start": 63, "end": 66, "valid": false, "qid": "Q4754160"}, {"start": 63, "end": 66, "valid": false, "qid": "Q570479"}, {"start": 63, "end": 66, "valid": false, "qid": "Q20982187"}, {"start": 67, "end": 78, "valid": false, "qid": "Q16933869"}, {"start": 67, "end": 78, "valid": false, "qid": "Q7763200"}, {"start": 90, "end": 91, "valid": false, "qid": "Q263294"}, {"start": 90, "end": 91, "valid": false, "qid": "Q326603"}, {"start": 90, "end": 91, "valid": false, "qid": "Q1473366"}, {"start": 90, "end": 91, "valid": false, "qid": "Q1943651"}, {"start": 90, "end": 91, "valid": false, "qid": "Q10299520"}, {"start": 93, "end": 102, "valid": false, "qid": "Q1421829"}, {"start": 119, "end": 150, "valid": true, "qid": "Q936476"}, {"start": 152, "end": 159, "valid": true, "qid": "Q1533"}, {"start": 152, "end": 159, "valid": false, "qid": "Q18012486"}, {"start": 152, "end": 159, "valid": false, "qid": "Q25170850"}, {"start": 152, "end": 159, "valid": false, "qid": "Q12478366"}, {"start": 152, "end": 159, "valid": false, "qid": "Q11132323"}, {"start": 161, "end": 170, "valid": true, "qid": "Q717"}, {"start": 161, "end": 170, "valid": false, "qid": "Q593830"}, {"start": 161, "end": 170, "valid": false, "qid": "Q214151"}, {"start": 161, "end": 170, "valid": false, "qid": "Q6063636"}, {"start": 161, "end": 170, "valid": false, "qid": "Q8875751"}]
10.2478/v10086-012-0031-1	Department of Educational Management, Islamic Azad University - Chalous Branch, Chalous, Iran	[{"start": 38, "end": 61, "valid": true, "qid": "Q2661844"}, {"start": 38, "end": 61, "valid": false, "qid": "Q793449"}, {"start": 38, "end": 61, "valid": false, "qid": "Q5947801"}, {"start": 38, "end": 61, "valid": false, "qid": "Q5951130"}, {"start": 64, "end": 71, "valid": true, "qid": "Q862547"}, {"start": 72, "end": 78, "valid": false, "qid": "Q1921164"}, {"start": 72, "end": 78, "valid": false, "qid": "Q3887114"}, {"start": 72, "end": 78, "valid": false, "qid": "Q22076422"}, {"start": 72, "end": 78, "valid": false, "qid": "Q3471857"}, {"start": 72, "end": 78, "valid": false, "qid": "Q4956327"}, {"start": 80, "end": 87, "valid": true, "qid": "Q862547"}, {"start": 89, "end": 93, "valid": true, "qid": "Q794"}, {"start": 89, "end": 93, "valid": false, "qid": "Q25763"}, {"start": 89, "end": 93, "valid": false, "qid": "Q184602"}, {"start": 89, "end": 93, "valid": false, "qid": "Q2043606"}, {"start": 89, "end": 93, "valid": false, "qid": "Q4892743"}]
10.1029/2005TC001912	Department of Earth, Atmospheric and Planetary Sciences, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA	[{"start": 14, "end": 19, "valid": false, "qid": "Q47670"}, {"start": 14, "end": 19, "valid": false, "qid": "Q28974"}, {"start": 14, "end": 19, "valid": false, "qid": "Q1277599"}, {"start": 14, "end": 19, "valid": false, "qid": "Q3045809"}, {"start": 14, "end": 19, "valid": false, "qid": "Q982498"}, {"start": 33, "end": 36, "valid": false, "qid": "Q5456"}, {"start": 33, "end": 36, "valid": false, "qid": "Q11184652"}, {"start": 33, "end": 36, "valid": false, "qid": "Q4754160"}, {"start": 33, "end": 36, "valid": false, "qid": "Q570479"}, {"start": 33, "end": 36, "valid": false, "qid": "Q20982187"}, {"start": 57, "end": 94, "valid": true, "qid": "Q49108"}, {"start": 96, "end": 120, "valid": true, "qid": "Q49111"}, {"start": 122, "end": 125, "valid": true, "qid": "Q30"}, {"start": 122, "end": 125, "valid": false, "qid": "Q9212"}, {"start": 122, "end": 125, "valid": false, "qid": "Q193619"}, {"start": 122, "end": 125, "valid": false, "qid": "Q114147"}, {"start": 122, "end": 125, "valid": false, "qid": "Q7901658"}]
10.1039/c0cc01125h	Iran Polymer and Petrochemical Institute, Tehran, Iran	[{"start": 0, "end": 40, "valid": true, "qid": "Q5958734"}, {"start": 42, "end": 48, "valid": true, "qid": "Q3616"}, {"start": 42, "end": 48, "valid": false, "qid": "Q590866"}, {"start": 42, "end": 48, "valid": false, "qid": "Q643031"}, {"start": 42, "end": 48, "valid": false, "qid": "Q2633350"}, {"start": 50, "end": 54, "valid": true, "qid": "Q794"}, {"start": 50, "end": 54, "valid": false, "qid": "Q25763"}, {"start": 50, "end": 54, "valid": false, "qid": "Q184602"}, {"start": 50, "end": 54, "valid": false, "qid": "Q2043606"}, {"start": 50, "end": 54, "valid": false, "qid": "Q4892743"}]
10.1177/0146167292181013	Personnel Research Associates	[{"start": 10, "end": 18, "valid": false, "qid": "Q7315046"}, {"start": 19, "end": 29, "valid": false, "qid": "Q743137"}]
